id,ciudad,industria,tipo_empresa,tamano_empleados,senales_compra,prioridad,metodo_contacto_primario,linkedin_search_query,ejemplo_empresa,puesto_contacto,por_que_califica,notas_accion
1,CDMX,Retail,Tienda ropa/accesorios,5-15,Publica en IG/FB pero sin WhatsApp automatizado,ALTA,LinkedIn,"owner retail fashion CDMX",Boutique local zona Roma/Condesa,Dueño/a o Gerente General,"Tienen presencia digital, venden en redes, necesitan automatizar atención",Buscar en IG tiendas con +5K followers sin respuestas automáticas
2,CDMX,Servicios,Estudio contable/fiscal,10-25,Atienden pymes pero proceso manual,ALTA,LinkedIn,"socio contador CDMX","Despacho contable mediano (no Big 4)",Socio o Director,"Muchos clientes preguntando lo mismo, necesitan FAQ automatizado",Buscar despachos con sitio web que ofrezcan consulta gratuita
3,CDMX,Servicios,Clínica dental,3-8,Atienden por WhatsApp pero todo manual,ALTA,WhatsApp directo,"clínica dental Polanco CDMX","Clínica dental zona Polanco, Del Valle",Gerente o Administrador,"Muchas citas, cancelaciones, recordatorios manuales",Buscar en Google Maps clínicas con +100 reseñas
4,CDMX,Servicios,Gimnasio boutique,8-20,Publican clases en redes sin sistema de reservas,MEDIA,LinkedIn,"founder gym studio CDMX",Gimnasio boutique tipo CrossFit/Yoga,Dueño/a o Gerente Comercial,"Sistema de reservas manual, pierden clientes por no responder rápido",Buscar estudios en zona Santa Fe/Polanco con clases grupales
5,CDMX,Servicios Financieros,Broker de seguros,5-12,Captan leads pero seguimiento lento,ALTA,LinkedIn,"broker seguros CDMX independiente",Broker independiente o agencia pequeña,Director Comercial o Dueño,"Muchos leads de cotizaciones que no siguen, necesitan nurturing automatizado",Buscar agentes independientes en LinkedIn
6,CDMX,Retail,Mueblería,10-30,Venden por catálogo físico y WhatsApp,MEDIA,WhatsApp directo,"mueblería CDMX",Mueblería local (no Liverpool/Palacio),Gerente de Ventas,"Clientes piden fotos, precios, disponibilidad - todo manual",Buscar mueblerías en zona norte (Lindavista, Vallejo)
7,CDMX,Servicios,Spa/estética,5-15,Agenda citas por teléfono y WhatsApp,MEDIA,WhatsApp directo,"spa estética CDMX",Spa mediano zona Condesa/Roma,Gerente o Dueña,"Muchas citas, recordatorios, seguimiento post-servicio manual",Google Maps spas con +50 reseñas
8,CDMX,Educación,Academia de idiomas,10-25,Inscripciones manuales,MEDIA,LinkedIn,"director academia idiomas CDMX",Academia de inglés local,Director Académico o Comercial,"Muchas consultas sobre cursos, horarios, precios - respuesta lenta",Buscar academias pequeñas (no Harmon Hall/Berlitz)
9,CDMX,Servicios,Agencia inmobiliaria,8-20,Muchos leads de portales pero seguimiento lento,ALTA,LinkedIn,"broker inmobiliario CDMX independiente",Agencia boutique o broker independiente,Corredor o Director,"Leads de Inmuebles24/Vivanuncios sin seguimiento rápido",LinkedIn: brokers con +500 conexiones
10,CDMX,Retail,Joyería,3-10,Venden por redes pero sin automatización,MEDIA,Instagram + WhatsApp,"joyería CDMX artesanal",Joyería artesanal/diseñador independiente,Dueño/a Diseñador,"Muchas consultas sobre diseños personalizados, todo manual",Instagram: joyeros con +3K followers
11,Guadalajara,Manufactura,Taller metal-mecánico,15-40,Cotizaciones lentas a clientes,MEDIA,LinkedIn,"owner manufactura Guadalajara",Taller que fabrica partes para otras empresas,Gerente General o Comercial,"Clientes industriales piden cotizaciones, toma días responder",Buscar talleres certificados ISO
12,Guadalajara,Tech,Agencia de marketing digital,8-25,Atienden pymes pero sin automatización propia,ALTA,LinkedIn,"CEO agencia marketing Guadalajara",Agencia digital pequeña/mediana,CEO o Director,"Predican automatización pero no la usan - ironía perfecta",LinkedIn: agencias con 8-25 empleados
13,Guadalajara,Servicios,Despacho legal,10-30,Muchas consultas iniciales sin calificar,MEDIA,LinkedIn,"socio abogado Guadalajara pymes",Despacho que atiende pymes,Socio o Director,"Muchas consultas que no califican, pierden tiempo",Buscar despachos especializados en corporativo/fiscal
14,Guadalajara,Retail,Tienda de suplementos,5-12,Venden en línea pero atención manual,ALTA,Instagram + WhatsApp,"suplementos gym Guadalajara",Tienda local de suplementos deportivos,Dueño o Gerente,"Muchas preguntas sobre productos, usos, promociones",Instagram: tiendas con +5K followers en fitness
15,Guadalajara,Servicios,Laboratorio clínico,15-35,Agenda estudios por teléfono,MEDIA,WhatsApp directo,"laboratorio clínico Guadalajara",Lab clínico independiente (no Chopo/Polanco),Gerente o Administrador,"Muchas citas, resultados, dudas sobre estudios - todo manual",Google Maps labs con +100 reseñas
16,Guadalajara,Manufactura,Taller de inyección plásticos,20-50,Clientes piden seguimiento de pedidos,BAJA,LinkedIn,"gerente producción plásticos Guadalajara",Empresa que hace moldes/piezas plásticas,Gerente Producción o Comercial,"Clientes preguntan status de pedidos constantemente",Requiere integración con ERP - más complejo
17,Guadalajara,Servicios,Centro de capacitación empresarial,8-20,Inscripciones y seguimiento manual,MEDIA,LinkedIn,"director capacitación empresarial Guadalajara",Centro que da cursos a empresas,Director Comercial,"Empresas piden cotizaciones de cursos in-company",Buscar centros CONOCER o STyPS
18,Guadalajara,Retail,Ferretería,10-25,Clientes preguntan disponibilidad por WhatsApp,MEDIA,WhatsApp directo,"ferretería Guadalajara",Ferretería mediana local,Gerente de Ventas,"Muchas consultas sobre stock, precios, envíos",Google Maps ferreterías con +50 reseñas
19,Monterrey,Manufactura,Taller de maquinados,25-60,Cotizaciones a industria automotriz/aeroespacial,BAJA,LinkedIn,"owner maquinados Monterrey",Taller tier 2 o tier 3 automotriz,Director General o Comercial,"Proceso de cotización lento, clientes exigentes",Requiere integración compleja - no prioritario
20,Monterrey,Servicios Financieros,Asesor financiero independiente,3-8,Capta leads pero no hace nurturing,ALTA,LinkedIn,"asesor financiero Monterrey independiente",Asesor independiente o pequeño despacho,Asesor Principal o Dueño,"Leads de eventos/webinars sin seguimiento automatizado",LinkedIn: asesores certificados (CFP, CFA)
21,Monterrey,Retail,Concesionaria autos seminuevos,10-30,Muchos leads de internet sin seguimiento,ALTA,LinkedIn,"gerente ventas autos seminuevos Monterrey",Agencia de seminuevos local,Gerente de Ventas,"Leads de portales de autos sin calificar ni seguir",Buscar agencias en Carretera Nacional
22,Monterrey,Servicios,Consultoría empresarial,5-15,Prospectan pero sin automatización,ALTA,LinkedIn,"consultor empresas Monterrey",Consultora boutique (no McKinsey/BCG),Socio o Director,"Hacen cold outreach manual a empresas manufactureras",Consultoras especializadas en Lean/Six Sigma
23,Monterrey,Retail,Distribuidora materiales construcción,15-40,Clientes constructoras piden materiales,MEDIA,WhatsApp directo,"distribuidora construcción Monterrey",Distribuidor mediano local,Gerente Comercial,"Constructoras piden cotizaciones urgentes de materiales",Google: distribuidoras con entrega rápida
24,Monterrey,Servicios,Escuela de manejo,8-15,Inscripciones y citas de práctica manuales,MEDIA,WhatsApp directo,"escuela manejo Monterrey",Autoescuela local,Dueño o Gerente,"Muchas consultas sobre cursos, disponibilidad de horarios",Google Maps escuelas con +50 reseñas
25,Monterrey,Servicios,Spa médico/estético,10-25,Citas de procedimientos estéticos,ALTA,Instagram + WhatsApp,"spa médico Monterrey",Spa médico (botox, rellenos, etc.),Director o Gerente Médico,"Muchas consultas sobre procedimientos, precios, financiamiento",Instagram: spas médicos con antes/después
